question1,question2
Discuss the physical and chemical test that should be done for the examination of water at laboratories.,What physical and chemical tests should be conducted in laboratories to analyze water?
Design a code conversion circuit which converts BCD to excess-3 code.,Create a circuit that transforms BCD numbers into excess-3 code.
What is the output of the LTI system whose input response is             h(t) = u(t) – u(t – 5) and input defined as:,What is the response of the LTI system when the input is defined as h(t) = u(t) – u(t – 5)?
Explain the components of the data acquisition system with necessary block diagram.,"Describe the elements of the data acquisition system, including a diagram to illustrate them."
Write down detailed specification for metal truss roofing work and Plaster work.,Provide a comprehensive description of the requirements for metal truss roofing and plastering.
Justify that   to transmit same power through same distance with same efficiency volume of copper required in three phase three wire system is 75% of Single phase.,"Provide a rationale for why the amount of copper needed to transmit the same power over the same distance with the same efficiency in a three-phase, three-wire system is 75% of that of a single phase."
"A three phase, 10,000kVA, 11kVA alternator has a subtransient reactance of 8%. A three phase short circuit occurs at its terminals. Determine the fault current and fault MVA.","Calculate the current and MVA for a short circuit at the terminals of a three phase 10,000kVA 11kVA alternator that has a subtransient reactance of 8%."
Draw the bode plot for the transfer function .Find the gain and phase cross over frequency.,Create a bode diagram for the transfer function and determine the gain and phase crossover frequency.
What is equivalent standard axle? Explain the process to determine the 'cumulative number of standard axles' for the design of flexible pavement as per IRC method.,How can the cumulative number of standard axles for the design of flexible pavement as per IRC method be determined?
What do you mean by sequential consistency of instruction?. Explain processor and Memory consistency.,What is the concept of sequential consistency of instructions? Could you explain how processor and memory consistency are related to this?
What are different testing levels? Explain with example?,What are the various stages of testing? Can you provide an illustration?
Define data independence and data abstraction.,What is the meaning of data independence and data abstraction?
Use of agricultural residues for power generation.,How can agricultural residues be used to generate electricity?
For the circuit given below find out the output voltage waveform and explain how waveform is drawn?,What is the output voltage waveform of the circuit shown and how was it determined?
Write the algorithm for Quick Sort and compute the time complexity. Point out the scenario when Quick Sort gives the worst case performance.,Describe the process for using Quick Sort and estimate its speed. Identify the circumstances under which Quick Sort yields the least desirable performance.
What are the selection criteria of different types of turbines in hydropower project?,What factors are taken into consideration when choosing different types of turbines for a hydropower project?
Explain briefly the UNIX file System commands.,Briefly describe the UNIX file system commands.
Why are steel sections used in the construction of buildings? Explain the constructional method of angle steel roof truss with sketches.,What are the advantages of using steel sections in the construction of buildings? Describe the process of constructing an angle steel roof truss with diagrams.
Write short notes on: (Any two) Constructional methods of typical Steel Beam to Column Connection. Precast Concrete Cladding Panel Wall Use of decorative elements in building Techniques of prevention and removal of efflorescence from a building.,"Describe two methods of constructing a steel beam to column connection. Explain the use of precast concrete cladding panel walls and the incorporation of decorative elements in a building. Additionally, explain the techniques used to prevent and remove efflorescence from a building."
"Define modes of heat transfer. Derive heat transfer rate in cylinder with non generating, steady state and one dimension heat transfer.","What are the different ways of transferring heat? How can we calculate the rate of heat transfer in a cylinder with non-generating, steady-state, one-dimensional heat transfer?"
What are the main goals of system Integration? Explain the Real Time Testing with suitable examples.,What are the primary objectives of system integration? Describe Real Time Testing with relevant examples.
What is relocation? How is relocation carried out in a loader?,How is the process of relocation executed in a loader?
Explain physical and logical files. What are the fundamental file processing operations? Explain in brief.,Describe physical and logical files. What are the basics of file handling procedures? Give a brief overview.
Derive the total length of symmetrical Hair- pin bend of the first type with neat sketches.,Find the total length of a symmetrical Hairpin bend of the first type and illustrate it with a diagram.
"Select any two styles from the following list: Chicago School, Expressionism, Art Nouveau and Bauhaus. Describe their main characteristics and briefly explain the design of at least one important building representing the style.","Choose two styles from the list of Chicago School, Expressionism, Art Nouveau and Bauhaus. Explain the main features of each and provide a brief overview of the design of a significant building that exemplifies the style."
Give reasons for the followings: TiCl3 is coloured but TiCl4 is colourless,What are the explanations for the fact that TiCl3 is colored but TiCl4 is colorless?
Explain SDH technology with necessary data rate calculation in STM1 level and its hierarchy.,"Describe SDH technology, including measurements for data rate at the STM1 level, and the system's organizational structure."
What are the types of management? Discuss their suitability and merits with reference the size and nature of organization.,Which types of management are best suited for organizations based on their size and nature? Analyze the merits of each type of management to determine its appropriateness.
Describe the Gossip architecture for replica management.,What is the Gossip protocol for managing replicas?
"Explain the concept of optimal binary search trees, and give an example of a situation where they can be used.",Describe optimal binary search trees and provide an illustration of an application of them.
Suppose you are the president of Himalayan Steels Industry which is facing a serious energy crisis. Now write a memo to all the employees as to draw their attention on what immediate measures can be taken up effectively as to conserve the energy.,Draft a memo to all staff members of Himalayan Steels Industry regarding the current energy crisis and what steps can be taken to conserve energy.
Explain the followings with the aid diagram. i) Interrupt cycle ii) Indirect cycle,i) Describe the process of an interrupt cycle with a diagram. ii) Show the steps of an indirect cycle in a diagram.
Draw the general layout of hydroelectric power plant. Drive a expression for net power associated with hydro power plant.,Create a diagram of the overall design of a hydroelectric power plant. Describe the net power output of the hydroelectric power plant.
Define water pollution. Mention and explain the causes and effects of water pollution. What can be done to control it?,What is water pollution? What are the sources and consequences of water pollution? How can it be managed?
"Define transition metals. Why zinc is not considered as transition metals, explain it.","What are transition metals? Why is zinc not considered a transition metal, and what is the explanation?"
Write down detailed specification for Earth work in excavation and Mosaic flooring works.,Provide a comprehensive list of requirements for Earthwork excavation and Mosaic flooring projects.
What are the factors controlling the rates of water loss from the soil and crop surface through evaporation? Discuss the importance of irrigation for year round crop production in Nepal?,What elements influence the amount of water that evaporates from the soil and plants? Why is irrigation necessary for farming in Nepal throughout the year?
Discuss the speed of operation of ECL gate. NOR / OR operation with the help of voltage transfer characteristics.,What are the speed of NOR/OR operations of an ECL gate when using voltage transfer characteristics?
Explain CMOS as a ands NAND gate.,Describe CMOS in terms of its use of both AND and NAND gates.
Patients arrive at a hospital for emergency service at the rate of one per hour. Currently only one emergency case can be handled at a time. Patients spend on average of 20 minutes receiving emergency care. Find the probability that: i) the probability that an arriving patient will have to wait ii) average length of the queue that forms iii) average time a patient spends in the system,i) What is the likelihood that a patient arriving at the hospital will have to wait for emergency care? ii) What is the average size of the line of patients waiting for emergency care? iii) What is the average amount of time a patient spends in the hospital for emergency care?
"Write short notes on: (Any two) Architecture Description, Analysis Class, Phases of software life cycle","Provide brief explanations of two of the following: Architecture Description, Analysis Class, and Phases of software life cycle."
Draw a circuit diagram for obtaining I - V characteristics of an N-channel power MOSFET and plot its drain characteristics.,Create a schematic of a circuit that will measure the current-voltage relationship of an N-channel power MOSFET and graph its drain characteristics.
What are the various types of negative feedback configuration? Derive the expression of input resistance for current series feedback,What different kinds of negative feedback set-ups can be made and how can we calculate the input resistance with a current series feedback system?
Why are curves important in civil engineering? Describe the elements of simple circular curves with neat sketch.,What are the elements of simple circular curves and how are they important to civil engineering? Provide a helpful illustration.
What do you understand by the term “Project”? Describe its characteristics.,"What is your interpretation of the concept of ""Project""? Explain its features."
Find the Minimum Spanning Tree and its weight of the graph using Kruskal’s algorithm:,Determine the least costly connection of the graph by employing Kruskal's algorithm.
Design an arithmetic circuit with two selection variables S1and S0that generates the following arithmetic operations.,Create an arithmetic circuit with two selection variables S1 and S0 that produces the following arithmetic operations.
Discuss the significance of companding in PCM. Band width of the input to a PCM is restricted to 4 KHz. The signal varies from -4V to +4V and has the average power of 30m Watts. The required SNR is 25 dB. The modulator produces binary output. Assume uniform quantization. i) Calculate the number of bits required per sample. ii) Output of such 24 PCM coders are time multiplexed. What is the minimum required bandwidth for the multiplexed signal?,"What is the minimum number of bits required per sample in a PCM system with a 4 KHz input bandwidth, a signal varying from -4V to +4V, an average power of 30m Watts, and a required SNR of 25 dB? Additionally, if the output of 24 such PCM coders is time multiplexed, what is the minimum required bandwidth for the multiplexed signal?"
Define looping? Differentiate between while loop and do-while loop examples.,What is looping? How do while loops and do-while loops differ from each other?
What is distributed operating system? Explain advantages and disadvantages of distributed operating system.,Describe a distributed operating system and list the pros and cons of using one.
What is a system? Describe the elements of PMIS.,What are the components of a Project Management Information System (PMIS)?
Define Frame and J Frame. How can you make a frame resizable? Explain it with example.,What is the meaning of Frame and J Frame? How can one make a frame adjustable in size? Provide an example to illustrate this.
What is operational amplifier? Discuss the operation of summing operational amplifier.,What is an operational amplifier and how does a summing operational amplifier work?
Why estimation is the necessary part of the Tender Document? How do you prepare preliminary estimate including external services? Mention various methods of taking of quantities?,What is the importance of estimation in the Tender Document? How can one create an initial estimate that accounts for external services? What are the different techniques used for quantity determination?
What are merits of PPP over SLIP? Explain. Contrast between bridge and switch?,What are the advantages of PPP compared to SLIP? Can you explain the differences between a bridge and a switch?
Obtain DFD for the following System . A customer can book a ticket from the internet or can directly buy the ticket in the Movie Hall itself. There can be multiple halls within one movie theatre. The ticket operator provides a ticket with hall’s stamp after checking the booking information to the customer. The guard in each hall validates the ticket and provides access to the customer inside the hall. There is also provision of complementary food item which the café will provide in the break time of the movie.,"Create a Data Flow Diagram for a system where customers can book tickets online or buy them directly at a movie theater, which may have multiple halls. The ticket operator will check the booking information and give the customer a ticket with the hall's stamp. The guard at each hall will validate the ticket and allow the customer to enter. Additionally, there is an option for a complimentary food item to be provided during the movie's intermission."
What is planning? Describe in brief why planning is needed? Elaborate on the steps of a typical planning process.,What is the purpose of planning and why is it necessary? Explain the components of a typical planning process in detail.
What is super key and candidate key? Explain in brief about the structure of RDBMS.,"Can you give a brief explanation of super key and candidate key, as well as the structure of a relational database management system?"
"A venturiflume is installed in rectangular channel with the object of rising water level on the upstream. The channel is 10m wide and has a gradient of 1in 3500 and 1m depth of water. The width of the throat is 5m. Find the necessary height of the hump, in order to have 1.5m deep water on the upstream side. Take Chezy’s constant as 75.","What elevation of the venturiflume is needed in order to raise the water level in a 10m wide, 1in 3500 gradient, 1m deep rectangular channel with a 5m throat to 1.5m deep, using Chezy's constant of 75?"
What are the main causes of harmonics in P.S. Explain the effect of harmonics.,What are the primary sources of harmonics in a power system and how do they affect the system?
What do you mean by law of conservation of charge? Derive an expression for energy density in an electrostatic field.,What is the definition of the law of conservation of charge? How can the energy density in an electrostatic field be expressed?
State the influential period responsible for Buddhist Rock-Cut architecture. Describe its architectural Characteristics. Also mention such development during the period of Hinduism.,What is the period of history that had the most impact on Buddhist Rock-Cut architecture? What are the architectural features of this style? How did the style evolve during the time of Hinduism?
Determine the range of RL and IL that will result in VRL being maintained at 10 V and also determine the minimum and maximum power dissipation in the zener diode in the circuit shown below:,"What is the range of RL and IL that will keep VRL at 10 V, and what is the minimum and maximum power dissipation in the zener diode in the circuit depicted?"
"What are main line, check line, tie line and offsets in chain surveying?","What is the purpose of main line, check line, tie line and offsets in chain surveying?"
How can we connect to the well known socket of the server process? Explain the functions and all its parameters.,What are the steps and parameters needed to establish a connection to the widely recognized socket of the server procedure?
Write short notes on any two: i) Register organization ii) Cache coherence iii) Flynn's taxonomy,i) Summarize the main points of Register Organization. ii) Describe the concept of Cache Coherence. iii) Explain Flynn's Taxonomy.
"Describe the terms strongly connected graph, degree of a node, loop and cycle, in reference with graph as ADT.","Explain the concepts of a strongly connected graph, degree of a node, loop, and cycle in relation to a graph as an abstract data type."
Explain the operation of non directional time and current graded protection for radial feeder.,Describe how non-directional time and current graded protection works for a radial feeder.
Write short notes on: (Any two) i) Synchronization of alternators ii) V-curves iii) Laws of illumination iv) Pitch Factor,i) Provide a brief overview of synchronization of alternators. ii) Describe the characteristics of V-curves. iii) Explain the laws of illumination. iv) Explain the concept of Pitch Factor.
Design a digital Chebyshev filter to satisfy the conditions: Use Bilinear Transformation for T = 1 sec.,Create a digital Chebyshev filter which meets the requirements by employing Bilinear Transformation with a time period of 1 second.
Explain different types of signal impairments in communication system.,Describe the various kinds of signal degradation that can occur in a communication system.
The time of reverberation of an empty hall without and with 500 audiences is 1.5s and 1.4s respectively. Find the reverberation time with 800 audiences in the hall.,What is the reverberation time when a hall with 800 people is occupied?
How does rule based deduction system work. Compare it with the working of Bayes' theorem.,What is the difference between the workings of a rule-based deduction system and Bayes' theorem?
"Differentiate between Brightness and Glare, waste light factor and absorption factor, Utilization factor and depreciation factor.","What is the distinction between Brightness and Glare, the amount of wasted light, and absorption, the Utilization factor and the depreciation factor?"
What is the role of planning in problem solving? Point out the problem in linear planning using the example of the Sussman anomaly.,How does planning contribute to problem solving? Explain how linear planning can be inadequate using the Sussman anomaly as an example.
What are the prority modes of 8259 PIC. Explain 8259 interrupt operation with block diagram.,"How does the 8259 PIC prioritize its various modes? Additionally, can you provide a block diagram that outlines the 8259 interrupt operation?"
Define oligopoly. Explain the kinked demand curve model and show that price once determined under oligopoly does not change even if MC changes within the range.,"Describe oligopoly. Clarify the kinked demand curve model and illustrate that once the price is decided under oligopoly, it will not alter even if the marginal cost varies in the given range."
What do you know about the floating foundation? Explain the procedure to obtain the settlement of pile group.,Describe your understanding of the concept of a floating foundation. Outline the steps necessary to achieve the stabilization of a pile group.
Design CMOS NAND and gate for 2 bit inputs.,Create a CMOS NAND gate and a CMOS gate for two bit input signals.
Explain about different stages of survey during selection of best alignment.,Describe the various steps involved in selecting the optimal alignment for a survey.
Explain filter method of generating SSB signal.  An AM signal contains 1100W at its carrier frequency and 900W in each of its sideband.,"What is the filter method for producing an SSB signal, and how does an AM signal with 1100W at its carrier frequency and 900W in each of its sidebands fit into the process?"
Explain the reducing abilities of metals using reduction potential.,Describe how the reduction potential of metals affects their ability to reduce.
How do you calculate r’s and (r-1)’s compliment of a number. Subtract 101101 from 111100 using 2’s compliment method.,What is the two's compliment of the difference between 111100 and 101101?
How is the size and number of insulators selected for a transmission line? How is the voltage distribution between the insulators units improved?,What criteria are used to determine the size and quantity of insulators for a transmission line? How can the voltage distribution between the insulators be improved?
How do you prepared rate of an extra items in the construction project work? What are the procedure of rate analysis? Explain with example.,What steps do you take to estimate the cost of additional items in a construction project? What is the process of rate analysis? Can you illustrate this with an example?
Write short notes on: (Any Two) i) Hunting in synchronous motor machine ii) dc motor stater iii) Auto Transformer iv) Armature reaction v) Vee curves of synchronous motor,i) Provide a brief overview of Hunting in synchronous motor machines. ii) Summarize the main characteristics of DC motor starters. iii) Explain the purpose of an Auto Transformer. iv) Outline the concept of Armature reaction. v) Describe the Vee curves of synchronous motors.
What is resource leveling? Explain different characteristics of CPM.,Resource leveling is the process of adjusting the start and finish dates of activities in a project schedule to even out the demand for resources. Characteristics of CPM (Critical Path Method) include: 1. Identification of the critical path: the sequence of activities that must be completed on time for the project to be completed on schedule. 2. Identification of the earliest and latest start and finish dates for each activity. 3. Identification of the slack or float time for each activity. 4. Identification of the total project duration. 5. Identification of the resources required for each activity.
What is Bio-Engineering? Explain its areas of application?,How would you describe Bio-Engineering? What are some of its uses?
Describe the terms: i) Intensity level slicing ii) Directional smoothing method,i) Explain what Intensity Level Slicing is. ii) Explain what Directional Smoothing Method is.
Describe mohr-coulomb failure theory and derive obliquity relationship.,Explain the Mohr-Coulomb failure theory and calculate the obliquity relationship.
"What do you mean by data compression technique? Explain the different error detecting techniques, Explain the term message switching .Packet switching and circuit switching.","Can you provide an explanation of data compression techniques, error detecting techniques, message switching, packet switching, and circuit switching?"
What do you know about plate Tectonics? Write about different plate boundaries. Why do you think Nepal is frequently hit by Earthquake?,What information are you familiar with regarding the theory of Plate Tectonics? Describe the various types of Plate Boundaries. Can you explain why Nepal is often affected by Earthquakes?
"What is a Hamiltonian Cycle? Draw an example of a graph which has a Hamiltonian Cycle (and show it clearly), and an example of a graph which doesn’t have one.","A Hamiltonian Cycle is a path in a graph where each vertex is visited exactly once. Provide an example of a graph that has a Hamiltonian Cycle, illustrating it clearly, and an example of a graph that does not have one."
"What is a protective zone? Why the protective zones are arranged in overlap fashion? With the help of simple diagram, show how the zones are overlapped.",What is the purpose of protective zones and how are they arranged in an overlapping fashion? Provide a diagram to illustrate the overlapping of the zones.
Describe the major structural members of a typical Nepali tiered temple? Also describe the various decorative and symbolic elements used.,"What are the main components of a traditional Nepali tiered temple? Additionally, what are the various decorative and symbolic elements used?"
Explain the basic concept of Voltage Controlled Oscillators (VCO) with diagram.,Describe the fundamentals of Voltage Controlled Oscillators (VCO) with a diagram.
What is Turing Test? What are the capabilities a machine needs to have to pass Turing test? Explain.,What is the Turing Test and what abilities must a machine demonstrate to be successful? Give an explanation.
Write short notes on any two: i) Slenderness Ratio ii) Composite beam iii) Power transmitted by a shaft,i) Provide a brief overview of Slenderness Ratio. ii) Summarize the characteristics of a Composite Beam. iii) Explain the Power transmitted by a Shaft.
Define Arc voltage. Explain in detail the theories which explain the arc extinction phenomenon.,What is Arc voltage? Elaborate on the theories that explain the arc extinction process.
"Draw shear force diagram, axial force diagram and bending moment diagram of the following plane frame.","Create diagrams of the shear force, axial force, and bending moment of the given plane frame."
Describe in brief the various types of pipeline layout systems with necessary sketches.,"Provide a brief overview of the different kinds of pipeline layout systems, including illustrations."
What is 8-puzzle problem? How can you solve a problem using production system?,What is the 8-puzzle problem and how can a production system be used to solve it?
Name the methods available to control the speed of a three-phase induction motor. Briefly explain how an inverter can be employed to control the speed of a single-phase induction motor.,What techniques can be used to regulate the velocity of a three-phase induction motor? How can an inverter be used to modify the speed of a single-phase induction motor?
"Determine the Young’s modulus and Poisson’s ratio of a metallic bar of length 30cm, breadth 4 cm and depth 4 cm when the bar is subjected to an axial compressive load of 400kN. The decrease in length is given as 0.075 cm and increase in breadth is 0.0 35 cm and increase in depth is 0.055 cm.","Calculate the Young's modulus and Poisson's ratio of a metal bar that is 30 cm long, 4 cm wide, and 4 cm deep when it is put under an axial compressive load of 400 kN. The decrease in length is 0.075 cm, the increase in width is 0.035 cm, and the increase in depth is 0.055 cm."
Design a 4-bit weighted-resistor DAC whose full-scale output is -10v. Logic levels are 1= +5v and 0 = 0v. What is the output voltage when the input is 1010? Also draw a diagram.,"Create a 4-bit weighted-resistor Digital-to-Analog Converter with a full-scale output of -10v when the Logic levels are 1 at +5v and 0 at 0v. What is the output voltage when the input is 1010? Additionally, provide a visual representation of the configuration."
A constant torque of 500 Newton meters turns a wheel of moment of inertia 100kgm2 about an axis through its centre. Find the gain in angular velocity in two seconds.,"What is the increase in angular velocity of a wheel with a moment of inertia of 100kgm2, when subjected to a torque of 500 Newton meters, in two seconds?"
Justify the statement “Pyramid has advantageous in image processing”.,Provide evidence to support the claim that Pyramid techniques are beneficial for image processing.
Design Consideration of Electromagnetic Relays.,What factors should be taken into account when designing an electromagnetic relay?
What is wave function? Derive the Schrodinger time dependent wave equation for a free particle like electron.,"How would one derive the Schrodinger time dependent wave equation for a free particle (such as an electron), given an understanding of what a wave function is?"
How does atmosphere and earth surface effect microwave propagation?,What impact do atmospheric and earth surface conditions have on the propagation of microwaves?
Summarize the different Hierarchical framework of computer Architecture. Use diagrammatic view to represent the framework,Draw a diagram that illustrates the hierarchical structure of computer architecture and provide a brief overview of each of the levels.
How schematic diagram is differing from wiring diagram in electrical installation explain with examples? Also gives six points for general rules for wiring.,What are the differences between a schematic diagram and a wiring diagram in electrical installation? Provide examples and list six general rules for wiring.
"A two wire dc mains 600 meter long is fed from both ends at 220 V, loads of 20 A, 40 A, 50 A and 30 A are tapped at distance of 100m, 250 m, 400 m and 500 m from the end A respectively. If the area of cross section of distributor conductor is 1 cm2, find the minimum consumer voltage.","What is the least voltage that consumers will receive if a two-wire DC mains 600 meters long is supplied with 220 volts at both ends, and loads of 20 amps, 40 amps, 50 amps, and 30 amps are tapped at distances of 100 meters, 250 meters, 400 meters, and 500 meters from end A, respectively, with a cross-sectional area of the distributor conductor of 1 cm2?"
What is SIMSCRIPT? Explain SIMCRIPT program orientation?,How does SIMSCRIPT work? Can you provide an overview of the SIMSCRIPT programming language?
"Distinguish between class and object, what are the major factors for designing Design Class Diagram (DCD), explain with suitable logic.","What are the key differences between a class and object, and what are the primary elements to consider when constructing a Design Class Diagram (DCD)? Explain your reasoning."
Define sorting and Grading. Explain the working principle of colour sorting with diagram.,"What is the definition of sorting and grading? How does color sorting work, and can you provide a diagram to explain it?"
What is Line coding? Consider the binary sequence 1010110. Draw the waveforms for the following signaling format. i) Unipolar RZ ii)Manchester coding.,"What is the meaning of Line coding? For the binary sequence 1010110, illustrate the waveforms for Unipolar RZ and Manchester coding."
Why it is not advisable to direct on line start the large induction motors? Explain the star delta starter for induction motor.,What are the reasons why it is not recommended to start large induction motors online? Could you provide an explanation of the star delta starter for induction motors?
Write short notes on: (Any two) Use of problem solving technique in computer fields,Create concise summaries about how problem-solving strategies are applied in the field of computing.
What are the various methods of locating contours? Write about direct method in detailed with sketches.,"What are the different ways to identify outlines? Provide a thorough explanation of the direct method, including diagrams."
Write short notes on: (Any two) Iterations challenge the organization or Architect Non functional requirements,Create brief summaries on the following topics: (Select Two) How can Iterations pose a difficulty to an Entity or Designer Nonfunctional Requirements?
Draw monostable multivibrator circuit and explain its operation.,Create a diagram of a monostable multivibrator circuit and describe how it works.
What is electric traction? Derive the expression for energy returned to the line or supply during Regenerative braking.,What is the definition of electric traction? How can we calculate the amount of energy that is returned to the power source during Regenerative braking?
What is the 'ductility' of road bitumen? Describe step by step procedure for the determination of ductility test of bitumen in the laboratory.,How is the flexibility of road bitumen measured? Explain the process for conducting a ductility test of bitumen in a laboratory setting.
What do you understand by the term SCM? Which components of software can undergo configuration management? What is the role of a baseline and SCIs in SCM process? Explain with necessary figure.,What is the definition of Supply Chain Management? What software components can be managed through configuration management? What is the purpose of a baseline and SCIs in the SCM process? Please provide a diagram to illustrate.
Explain various components of a PLC with relevant diagrams.,Illustrate the various pieces of a PLC using diagrams.
"Decode and define IP-address based internet N/W information center. How unitcast, broadcast and multicast addresses identify a host.","What is the difference between unicast, broadcast, and multicast addresses and how do they identify a host in an IP-address based internet network information center?"
What do you mean by dynamic constructor? Explain with example.,What is the concept of a dynamic constructor? Could you provide an example to illustrate it?
"Write short notes on: (Any two) Error and Exception handling, Unified Process, Activity Diagram","Provide a brief description of Error and Exception handling, Unified Process, and Activity Diagram."
"A combo-set mini diesel power plant employed in super market has been found working on diesel cycle. It has inlet pressure and temperature 1 bar and 17°C respectively. Pressure at the end of adiabatic compression is 35bars. The ratio of expansion i.e., after constant pressure heat addition is 5. Assumingγ = 1.4, Cp = 1.004 kJ/kg K and Cv=0.717kJ/kg K, calculate the heat addition, heat rejection and the efficiency of the cycle.","What is the heat addition, heat rejection, and efficiency of the cycle for a combo-set mini diesel power plant that has an inlet pressure of 1 bar and a temperature of 17°C, an end of adiabatic compression pressure of 35 bars, and an expansion ratio of 5, given a specific heat ratio of γ = 1.4, a heat capacity at constant pressure of Cp = 1.004 kJ/kg K, and a heat capacity at constant volume of Cv = 0.717kJ/kg K?"
What are the functions of personnel management? What are the elements used in job description and job specification?,What roles does personnel management serve? What details are included in a job description and job specification?
Write short notes on any two: i) Computer and the society ii) NGO/ INGO/ ASCE iii) Relationship to foreign form working in Kathmandu,"i) Describe the impact of computers on society. ii) Explain the differences between Non-Governmental Organizations, International Non-Governmental Organizations, and American Society for Civil Engineers. iii) Examine the relationship between foreign individuals living and working in Kathmandu."
Define uniform and non-uniform flow. Derive Manning’s equation for open channel flow,What is the meaning of uniform and non-uniform flow? How can Manning's equation be used to calculate open channel flow?
"Explain the following operation modes for 8259 PIC: Fully nested mode, Automatic rotation mode, Special Mask mode and Poll command mode.","Describe the functions of Fully nested mode, Automatic rotation mode, Special Mask mode, and Poll command mode for the 8259 PIC."
Draw the V~I characteristic for an SCR and explain the following the terms: i) Latching current of the SCR ii) Holding current of the SCR,Create a graph of the voltage-current relationship for an SCR and explain what is meant by the latching current and the holding current.
Give a scenario where choosing a large file-system block size might be a benefit. Give an example where it might be a hindrance.,Describe a situation where selecting a large file-system block size could be advantageous. Give an example of a situation where it could be a disadvantage.
"The chances of X, Y, Z becoming manager of a certain company are 4:2:3. The probabilities that bonus scheme will be introduced if X, Y, Z becomes manager are 0.3, 0.5 and 0.8 respectively. If the bonus scheme has been introduced, what is the probability that : i) X is appointed as the manager? ii) Y is appointed as the manager",i) What is the likelihood that X will be chosen as manager if the bonus scheme has been implemented? ii) What is the probability that Y will be chosen as manager if the bonus scheme has been introduced?
"Write short notes on: (Any two) Steady state error, Frequency domain specification, Open loop and close loop systems","Provide brief descriptions of Steady State Error, Frequency Domain Specification, Open Loop Systems, and Closed Loop Systems."
